year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,11,OO,SkyWest Airlines Inc.,DEC,"Decatur, IL: Decatur Airport",51,2,2,0,0,0,0,0,0,631,631,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5802,628,493,22,10,1,102,18,2,64705,50686,2141,273,155,
2021,11,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1792,259,137,4,0,0,118,6,3,22883,10001,111,0,0,
2021,11,OO,SkyWest Airlines Inc.,DLH,"Duluth, MN: Duluth International",107,13,11,2,0,0,0,0,0,726,618,108,0,0,
2021,11,OO,SkyWest Airlines Inc.,DRO,"Durango, CO: Durango La Plata County",232,24,16,1,0,0,7,0,0,2025,1458,42,0,0,
2021,11,OO,SkyWest Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",213,21,7,3,0,0,11,0,0,1722,190,198,0,0,
2021,11,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2460,463,353,89,1,5,15,6,5,44063,33986,9012,18,169,
2021,11,OO,SkyWest Airlines Inc.,DVL,"Devils Lake, ND: Devils Lake Regional",59,2,0,0,0,0,2,2,1,68,0,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,EAR,"Kearney, NE: Kearney Regional",88,12,11,0,0,0,1,0,0,505,394,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,EAU,"Eau Claire, WI: Chippewa Valley Regional",59,7,3,0,0,0,4,0,0,509,144,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",75,10,4,0,0,0,6,0,1,1438,986,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,EKO,"Elko, NV: Elko Regional",55,2,2,0,0,0,0,0,0,69,69,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",75,19,14,5,0,0,0,1,0,1272,826,446,0,0,
2021,11,OO,SkyWest Airlines Inc.,ELP,"El Paso, TX: El Paso International",233,24,18,0,0,0,6,0,0,1226,851,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,ESC,"Escanaba, MI: Delta County",60,10,10,0,0,0,0,0,0,432,432,0,0,0,
